"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|SE3","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","907","n/e","6292","502","n/e","0","n/e","n/e","2381"
"BZN|SE3","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","904","n/e","6292","529","n/e","0","n/e","n/e","2357"
"BZN|SE3","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","905","n/e","6293","530","n/e","0","n/e","n/e","2414"
"BZN|SE3","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","904","n/e","6293","537","n/e","0","n/e","n/e","2459"
"BZN|SE3","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","903","n/e","6295","537","n/e","0","n/e","n/e","2461"
"BZN|SE3","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","906","n/e","6295","551","n/e","0","n/e","n/e","2474"
"BZN|SE3","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","913","n/e","6295","597","n/e","0","n/e","n/e","2488"
"BZN|SE3","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","937","n/e","6295","608","n/e","0","n/e","n/e","2480"
"BZN|SE3","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","955","n/e","6294","634","n/e","0","n/e","n/e","2483"
"BZN|SE3","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","986","n/e","6293","662","n/e","0","n/e","n/e","2491"
"BZN|SE3","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1038","n/e","6295","677","n/e","2","n/e","n/e","2488"
"BZN|SE3","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1094","n/e","6295","682","n/e","3","n/e","n/e","2446"
"BZN|SE3","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1132","n/e","6294","693","n/e","3","n/e","n/e","2384"
"BZN|SE3","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1145","n/e","6294","690","n/e","2","n/e","n/e","2380"
"BZN|SE3","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1162","n/e","6294","697","n/e","0","n/e","n/e","2369"
"BZN|SE3","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1168","n/e","6294","713","n/e","0","n/e","n/e","2383"
"BZN|SE3","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1168","n/e","6294","713","n/e","0","n/e","n/e","2395"
"BZN|SE3","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1173","n/e","6294","719","n/e","0","n/e","n/e","2420"
"BZN|SE3","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1169","n/e","6294","713","n/e","0","n/e","n/e","2404"
"BZN|SE3","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1165","n/e","6294","721","n/e","0","n/e","n/e","2379"
"BZN|SE3","01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1105","n/e","6294","703","n/e","0","n/e","n/e","2362"
"BZN|SE3","01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1079","n/e","6294","675","n/e","0","n/e","n/e","2336"
"BZN|SE3","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1067","n/e","6294","649","n/e","0","n/e","n/e","2324"
"BZN|SE3","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1036","n/e","6294","635","n/e","0","n/e","n/e","2315"
"BZN|SE3","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1013","n/e","6291","634","n/e","0","n/e","n/e","2368"
"BZN|SE3","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","994","n/e","6291","639","n/e","0","n/e","n/e","2361"
"BZN|SE3","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","991","n/e","6291","643","n/e","0","n/e","n/e","2349"
"BZN|SE3","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","986","n/e","6290","638","n/e","0","n/e","n/e","2346"
